doc,summarizer,shuffle_score
dm-test-2c6695b438980783754f7db28129ec2fbb3e6e21,BART,0.767
dm-test-2cf8c2d1d2ceb1980249f77e703f9039e63799d0,BART,-0.96
dm-test-b5bc2ae78441e4ac08fb01823d5fc0f1627c3166,BART,0.3098
dm-test-130ff8f2dfb6ab67861d5924b0ff5acd63c7d8ce,BART,0.706
dm-test-4001b252a072ac149c70840b22299cc6cfab3bae,BART,0.8877
dm-test-cf4ba8f94f2dd5604eb8f8a4e655c10cf0996365,BART,-1.222
dm-test-8e6c8aec6808f66ed0342e128a4e146f3ecd627d,BART,-0.8433
dm-test-b5925c1a02fa9a8f6b1d5ad764c19a732deac0df,BART,-1.327
dm-test-3785743303ddb8b594be7c449a37458b99e83812,BART,0.8604
dm-test-6721edf88c95f480a4db2c63649dbb03736aeadf,BART,0.2101
dm-test-7cba80e83b222801fed8d6f96e8c0aa381c54b28,BART,0.3633
dm-test-97bbda7ec22a736cd174b51513c72a6372d13d35,BART,0.1553
dm-test-3ba3bde4a1440134bb38ec22ba50db59986b544c,BART,-0.2185
dm-test-4e0de0ec6d5b9df174f54d03158de8f30aac861f,BART,-1.054
dm-test-8bc8f134bc3ceaeec0df8f29e96e13d319717ab8,BART,-1.274
dm-test-6f027d030f9ca86446dc893f1d10ced4c9a3561f,BART,-0.2773
dm-test-e43eef75de38d246db9d80216ca9f5487215a78b,BART,-0.524
dm-test-81bd721b16cad47dfd8d24baca5b30b006291db2,BART,0.3372
cnn-test-a02e362c5b8f049848ce718b37b96117485461cf,BART,0.764
dm-test-dea0ed2e587495e516ac85056e21a2076a9a993c,BART,0.555
dm-test-5be0a9584b051175d9f4842a143b76385335d96a,BART,-1.265
dm-test-d89de9c2a76f2665560becfe5d761a4fc62b9926,BART,-1.376
dm-test-8b59fa7715418c4bcc0d50e3caeb239129de453e,BART,0.533
dm-test-1747dcd6a007ee97954b6b10cde549bf82f6a4eb,BART,0.8184
cnn-test-e49792c337d3f4c13e22f710efa44cf6a4e59aba,BART,0.0657
dm-test-d296270ab4a4cf20f2d9c1aae7514687806f2b35,BART,-1.205
cnn-test-b8b6e729fff27c4eef87887e61d3448de9c063f6,BART,0.65
dm-test-9beaaf73e4517d5bf1bc284f386485d571da96cf,BART,0.7554
dm-test-4a593dc4c7e0b4d09bfdc66bb315c47b54eb15df,BART,0.2201
dm-test-18243373494a1722ddcd162ec67b63dd749633ab,BART,0.682
dm-test-998cb27197db1fd299aff3322ac041ba4bf1148f,BART,0.7344
dm-test-2feca9acf532e33f1ab7442c442c8e19787d8d7b,BART,0.4773
dm-test-8b51a10370a1219137e231192e65b9cd52238ea6,BART,0.7437
dm-test-31114653cd606fd3f4b1035f98dedd71f8282cd2,BART,-0.4478
dm-test-0cdd7cdb5d99c36f25f1f4fa0e962d558f7ff07b,BART,0.748
dm-test-f5fead94ee884800e84a212cc0edc78b11c4ba9f,BART,0.798
dm-test-36352fd1c61fd0c593ee7b84cbe213aa9b444439,BART,0.531
dm-test-a3b6201aca77b5bdaa5df02d6acee2be66233237,BART,0.7744
cnn-test-c05bda9b387ec8ae43803170b6f59b4b82505db9,BART,0.7407
dm-test-6c1341bedf92a304318545fbf1aad88651de7909,BART,0.7275
dm-test-1749a22e2b6facaa057213cb9b33261b319bbd2b,BART,0.6724
dm-test-b255397ee863bd8faf9def57c0f76769153d905e,BART,-1.388
dm-test-e06ff0eb7c4fa4416fda84a9a239b15480c5a9d9,BART,-0.9097
dm-test-d680ebcdcd59fd5ee9b602a06bcd5230c212835b,BART,0.2808
dm-test-155754e1f2bc83f6836af78703edd4d00f19f381,BART,0.7163
dm-test-23e8c1d71474d239aa9ae37b9a05031b0054b8ce,BART,0.1666
cnn-test-4761dc6d8bdf56b9ada97104113dd1bcf4aed3f1,BART,-0.7085
dm-test-8847383b72167c3f3dd2161b5b091b580c8f4da7,BART,0.7227
dm-test-801763443e6c73e3857039f2223798b2b58bef19,BART,0.7256
dm-test-c16c9fa34ccae7e2b9e29c3988ccb74974c4b3c0,BART,-0.3535
dm-test-096e418a953af86df0d1560bec95bc7bfee2e34b,BART,0.5913
dm-test-02c955067d00f38b6978b805d5a8701a787f78ac,BART,0.567
dm-test-2cfc33d01364162579f46b2764914a03a29453ce,BART,0.507
dm-test-808a439a5d83fc47baaea934c8779a7ebc62470d,BART,0.9067
dm-test-9b5a04b9879fe716a2dcd66dd331f99534603c16,BART,-0.1653
dm-test-d3c9ce137ba24a69253508b3416630465c050ae4,BART,0.8604
dm-test-26e4e19d945cedcb489f28808c730658139c9415,BART,0.2732
dm-test-4f3b35b540ba05f0f82d71a694ec23dde4dc3e01,BART,0.4797
dm-test-2abe0f81f5b22c8a406165717e3bd7fce6fe47c6,BART,-0.549
cnn-test-5139ccfabee55ddb83e7937f5802c0a67aee8975,BART,-1.064
dm-test-051db270afc32571a08c15124330efe89d80fea8,BART,0.3457
dm-test-b1f6faac3f406edca1e0cad8cce1319c83e62605,BART,-1.271
dm-test-c6667409fcdea2c89ba9f0d3a72c50e3967b4b1b,BART,0.3337
cnn-test-bcdb32ae644040a721da880fff9c1d502048cd8b,BART,0.5767
dm-test-46609841ffd23e9c22d1507edf7b176ecc4d834f,BART,0.7886
dm-test-2a48112ddee712f2364f128076cb2db555a043b1,BART,-0.296
dm-test-fadabe346fe95d33eee71299e6596754768f5246,BART,0.9478
dm-test-f468efac7b3c54f8c42c2c81dff108c52ebe0d7d,BART,0.3743
cnn-test-88c2481234e763c9bbc68d0ab1be1d2375c1349a,BART,-0.2297
dm-test-6372eff07fd3d6f578f90d6115e01747edccc095,BART,-0.3
dm-test-e7d8b6617691ea00d4ddc5fe2b7cbd105ba9a57e,BART,-0.207
cnn-test-404f859482d47c127868964a9a39d1a7645dd2e9,BART,-1.073
dm-test-d83b82a9cd504218e604616be3f3c3928e3428b8,BART,0.6206
dm-test-0cd10ad50ceef529d96a255ed12ac9cd001ba9db,BART,0.405
dm-test-632cfdb03aacd90a34a470f6a70b47eee62ec5f0,BART,0.4224
dm-test-c50d33e9749e7bb484d9b69c4f5fca35a3a50cb5,BART,-0.13
dm-test-2377095dda83df778e34304b7a09813808105d3b,BART,0.4875
dm-test-e880fda4c25289f8325574246f0f8ed4ff5eb26b,BART,0.598
dm-test-8764fb95bfad8ee849274873a92fb8d6b400eee2,neusum,-1.613
dm-test-f26d8400ae49b90d109c165d0f44b8f6ca253c08,neusum,0.605
dm-test-207df192edc1836250b69d1bc5b9e6a38206eb78,neusum,-0.02989
dm-test-0f0789390d67698283cc87b2e046b5c5cd77edb7,neusum,-1.529
cnn-test-fbbafa743a8c2ecd2cedf65c6c61956b2db8ec5c,neusum,0.4443
dm-test-f37fd6e9b6cc18a7132568e307ef3b130931e809,neusum,-1.568
dm-test-14c813567696f4e63a39993c09d4edb454036179,neusum,0.73
dm-test-e470f0a87d7513bf880412524332047020422c3f,neusum,0.4578
dm-test-2c37d44d03ce2e91310339d884d33ee5aabf9abc,neusum,0.0947
dm-test-e428e25bbf8e06643154ce31b7c6fab64c81e857,neusum,0.747
dm-test-0783c68a744df6afa009d16e72709f2b4d90dea1,neusum,-1.969
dm-test-eeef09d26cf30c2124c0399b08eedc6321fe5d20,neusum,0.7197
cnn-test-b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e,neusum,-0.913
dm-test-9afda3cde191a883d8c166ceb5765eb53205d8f4,neusum,0.1267
dm-test-4fb64a2298e18626db776fccf834be87388827e0,neusum,0.4795
dm-test-03e271b4305517e02c9ead82d57327d32b99102e,neusum,0.606
dm-test-bd4684a0f5af5dd6ac88d2fb50f902bd7f10217b,neusum,-1.51
dm-test-9d0fcbd873927674d12aafce4ae7754fd591d4e2,neusum,-1.719
dm-test-9b1af0f993d78353ebd56a1b180e882e751527b3,neusum,0.6626
cnn-test-d75b043ebefc3098aea84d92bb8bec0f509b1563,neusum,-1.952
cnn-test-e2bccd4dec93c9bb7b327827dae004c2d494ec31,neusum,0.1954
dm-test-54b857a66cbd8473d6732e5da52d48612e636a37,neusum,-1.049
dm-test-2c6695b438980783754f7db28129ec2fbb3e6e21,neusum,-1.53
dm-test-2cf8c2d1d2ceb1980249f77e703f9039e63799d0,neusum,-1.315
dm-test-b5bc2ae78441e4ac08fb01823d5fc0f1627c3166,neusum,-0.753
dm-test-130ff8f2dfb6ab67861d5924b0ff5acd63c7d8ce,neusum,0.613
dm-test-4001b252a072ac149c70840b22299cc6cfab3bae,neusum,0.2148
dm-test-cf4ba8f94f2dd5604eb8f8a4e655c10cf0996365,neusum,-1.212
dm-test-8e6c8aec6808f66ed0342e128a4e146f3ecd627d,neusum,-1.578
dm-test-b5925c1a02fa9a8f6b1d5ad764c19a732deac0df,neusum,-0.642
dm-test-3785743303ddb8b594be7c449a37458b99e83812,neusum,-1.39
dm-test-6721edf88c95f480a4db2c63649dbb03736aeadf,neusum,0.4192
dm-test-7cba80e83b222801fed8d6f96e8c0aa381c54b28,neusum,-0.02687
dm-test-97bbda7ec22a736cd174b51513c72a6372d13d35,neusum,-0.9644
dm-test-3ba3bde4a1440134bb38ec22ba50db59986b544c,neusum,-1.398
dm-test-4e0de0ec6d5b9df174f54d03158de8f30aac861f,neusum,-1.249
dm-test-8bc8f134bc3ceaeec0df8f29e96e13d319717ab8,neusum,-1.29
dm-test-6f027d030f9ca86446dc893f1d10ced4c9a3561f,neusum,-1.784
dm-test-e43eef75de38d246db9d80216ca9f5487215a78b,neusum,-1.208
dm-test-81bd721b16cad47dfd8d24baca5b30b006291db2,neusum,-1.66
cnn-test-a02e362c5b8f049848ce718b37b96117485461cf,neusum,-1.519
dm-test-dea0ed2e587495e516ac85056e21a2076a9a993c,neusum,-1.665
dm-test-5be0a9584b051175d9f4842a143b76385335d96a,neusum,-1.435
dm-test-d89de9c2a76f2665560becfe5d761a4fc62b9926,neusum,0.6396
dm-test-8b59fa7715418c4bcc0d50e3caeb239129de453e,neusum,-0.2164
dm-test-1747dcd6a007ee97954b6b10cde549bf82f6a4eb,neusum,-1.304
cnn-test-e49792c337d3f4c13e22f710efa44cf6a4e59aba,neusum,-0.6924
dm-test-d296270ab4a4cf20f2d9c1aae7514687806f2b35,neusum,0.4673
cnn-test-b8b6e729fff27c4eef87887e61d3448de9c063f6,neusum,0.694
dm-test-9beaaf73e4517d5bf1bc284f386485d571da96cf,neusum,-1.449
dm-test-4a593dc4c7e0b4d09bfdc66bb315c47b54eb15df,neusum,-0.3005
dm-test-18243373494a1722ddcd162ec67b63dd749633ab,neusum,-0.6797
dm-test-998cb27197db1fd299aff3322ac041ba4bf1148f,neusum,-0.4507
dm-test-2feca9acf532e33f1ab7442c442c8e19787d8d7b,neusum,0.4502
dm-test-8b51a10370a1219137e231192e65b9cd52238ea6,neusum,0.6743
dm-test-31114653cd606fd3f4b1035f98dedd71f8282cd2,neusum,-1.349
dm-test-0cdd7cdb5d99c36f25f1f4fa0e962d558f7ff07b,neusum,-0.93
dm-test-f5fead94ee884800e84a212cc0edc78b11c4ba9f,neusum,-0.1763
dm-test-36352fd1c61fd0c593ee7b84cbe213aa9b444439,neusum,-1.103
dm-test-a3b6201aca77b5bdaa5df02d6acee2be66233237,neusum,-0.12134
cnn-test-c05bda9b387ec8ae43803170b6f59b4b82505db9,neusum,0.5273
dm-test-6c1341bedf92a304318545fbf1aad88651de7909,neusum,0.808
dm-test-1749a22e2b6facaa057213cb9b33261b319bbd2b,neusum,-1.92
dm-test-b255397ee863bd8faf9def57c0f76769153d905e,neusum,-1.3545
dm-test-e06ff0eb7c4fa4416fda84a9a239b15480c5a9d9,neusum,0.1501
dm-test-d680ebcdcd59fd5ee9b602a06bcd5230c212835b,neusum,-0.6934
dm-test-155754e1f2bc83f6836af78703edd4d00f19f381,neusum,0.974
dm-test-23e8c1d71474d239aa9ae37b9a05031b0054b8ce,neusum,-0.462
cnn-test-4761dc6d8bdf56b9ada97104113dd1bcf4aed3f1,neusum,0.525
dm-test-8847383b72167c3f3dd2161b5b091b580c8f4da7,neusum,-0.02422
dm-test-801763443e6c73e3857039f2223798b2b58bef19,neusum,-1.502
dm-test-c16c9fa34ccae7e2b9e29c3988ccb74974c4b3c0,neusum,-1.222
dm-test-096e418a953af86df0d1560bec95bc7bfee2e34b,neusum,0.5884
dm-test-02c955067d00f38b6978b805d5a8701a787f78ac,neusum,0.6636
dm-test-2cfc33d01364162579f46b2764914a03a29453ce,neusum,0.638
dm-test-808a439a5d83fc47baaea934c8779a7ebc62470d,neusum,-1.198
dm-test-9b5a04b9879fe716a2dcd66dd331f99534603c16,neusum,-1.896
dm-test-d3c9ce137ba24a69253508b3416630465c050ae4,neusum,-1.219
dm-test-26e4e19d945cedcb489f28808c730658139c9415,neusum,0.6245
dm-test-4f3b35b540ba05f0f82d71a694ec23dde4dc3e01,neusum,-0.0509
dm-test-2abe0f81f5b22c8a406165717e3bd7fce6fe47c6,neusum,0.3513
cnn-test-5139ccfabee55ddb83e7937f5802c0a67aee8975,neusum,-1.352
dm-test-051db270afc32571a08c15124330efe89d80fea8,neusum,-1.615
dm-test-b1f6faac3f406edca1e0cad8cce1319c83e62605,neusum,-1.023
dm-test-c6667409fcdea2c89ba9f0d3a72c50e3967b4b1b,neusum,-1.344
cnn-test-bcdb32ae644040a721da880fff9c1d502048cd8b,neusum,-1.052
dm-test-46609841ffd23e9c22d1507edf7b176ecc4d834f,neusum,-0.5967
dm-test-2a48112ddee712f2364f128076cb2db555a043b1,neusum,0.408
dm-test-fadabe346fe95d33eee71299e6596754768f5246,neusum,-1.34
dm-test-f468efac7b3c54f8c42c2c81dff108c52ebe0d7d,neusum,0.0778
cnn-test-88c2481234e763c9bbc68d0ab1be1d2375c1349a,neusum,-1.645
dm-test-6372eff07fd3d6f578f90d6115e01747edccc095,neusum,-0.04367
dm-test-e7d8b6617691ea00d4ddc5fe2b7cbd105ba9a57e,neusum,0.0733
cnn-test-404f859482d47c127868964a9a39d1a7645dd2e9,neusum,-1.105
dm-test-d83b82a9cd504218e604616be3f3c3928e3428b8,neusum,0.6045
dm-test-0cd10ad50ceef529d96a255ed12ac9cd001ba9db,neusum,-0.822
dm-test-632cfdb03aacd90a34a470f6a70b47eee62ec5f0,neusum,-1.779
dm-test-c50d33e9749e7bb484d9b69c4f5fca35a3a50cb5,neusum,-0.8003
dm-test-2377095dda83df778e34304b7a09813808105d3b,neusum,-1.4795
dm-test-e880fda4c25289f8325574246f0f8ed4ff5eb26b,neusum,-1.279
dm-test-8764fb95bfad8ee849274873a92fb8d6b400eee2,Multi-task (Ent + QG),0.2404
dm-test-f26d8400ae49b90d109c165d0f44b8f6ca253c08,Multi-task (Ent + QG),0.599
dm-test-207df192edc1836250b69d1bc5b9e6a38206eb78,Multi-task (Ent + QG),0.4963
dm-test-0f0789390d67698283cc87b2e046b5c5cd77edb7,Multi-task (Ent + QG),-0.6597
cnn-test-fbbafa743a8c2ecd2cedf65c6c61956b2db8ec5c,Multi-task (Ent + QG),0.7393
dm-test-f37fd6e9b6cc18a7132568e307ef3b130931e809,Multi-task (Ent + QG),-1.194
dm-test-14c813567696f4e63a39993c09d4edb454036179,Multi-task (Ent + QG),0.9346
dm-test-e470f0a87d7513bf880412524332047020422c3f,Multi-task (Ent + QG),1.065
dm-test-2c37d44d03ce2e91310339d884d33ee5aabf9abc,Multi-task (Ent + QG),0.0947
dm-test-e428e25bbf8e06643154ce31b7c6fab64c81e857,Multi-task (Ent + QG),0.922
dm-test-0783c68a744df6afa009d16e72709f2b4d90dea1,Multi-task (Ent + QG),0.4473
dm-test-eeef09d26cf30c2124c0399b08eedc6321fe5d20,Multi-task (Ent + QG),-1.417
cnn-test-b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e,Multi-task (Ent + QG),-1.145
dm-test-9afda3cde191a883d8c166ceb5765eb53205d8f4,Multi-task (Ent + QG),0.8105
dm-test-4fb64a2298e18626db776fccf834be87388827e0,Multi-task (Ent + QG),-1.3
dm-test-03e271b4305517e02c9ead82d57327d32b99102e,Multi-task (Ent + QG),0.003937
dm-test-bd4684a0f5af5dd6ac88d2fb50f902bd7f10217b,Multi-task (Ent + QG),0.7744
dm-test-9d0fcbd873927674d12aafce4ae7754fd591d4e2,Multi-task (Ent + QG),-0.01929
dm-test-9b1af0f993d78353ebd56a1b180e882e751527b3,Multi-task (Ent + QG),0.8804
cnn-test-d75b043ebefc3098aea84d92bb8bec0f509b1563,Multi-task (Ent + QG),0.8936
cnn-test-e2bccd4dec93c9bb7b327827dae004c2d494ec31,Multi-task (Ent + QG),-0.1714
dm-test-54b857a66cbd8473d6732e5da52d48612e636a37,Multi-task (Ent + QG),0.862
dm-test-2c6695b438980783754f7db28129ec2fbb3e6e21,Multi-task (Ent + QG),0.5376
dm-test-2cf8c2d1d2ceb1980249f77e703f9039e63799d0,Multi-task (Ent + QG),-0.5933
dm-test-b5bc2ae78441e4ac08fb01823d5fc0f1627c3166,Multi-task (Ent + QG),-0.5474
dm-test-130ff8f2dfb6ab67861d5924b0ff5acd63c7d8ce,Multi-task (Ent + QG),-1.218
dm-test-4001b252a072ac149c70840b22299cc6cfab3bae,Multi-task (Ent + QG),0.658
dm-test-cf4ba8f94f2dd5604eb8f8a4e655c10cf0996365,Multi-task (Ent + QG),-1.133
dm-test-8e6c8aec6808f66ed0342e128a4e146f3ecd627d,Multi-task (Ent + QG),-1.25
dm-test-b5925c1a02fa9a8f6b1d5ad764c19a732deac0df,Multi-task (Ent + QG),-0.3445
dm-test-3785743303ddb8b594be7c449a37458b99e83812,Multi-task (Ent + QG),-1.1875
dm-test-6721edf88c95f480a4db2c63649dbb03736aeadf,Multi-task (Ent + QG),0.641
dm-test-7cba80e83b222801fed8d6f96e8c0aa381c54b28,Multi-task (Ent + QG),-1.348
dm-test-97bbda7ec22a736cd174b51513c72a6372d13d35,Multi-task (Ent + QG),0.5537
dm-test-3ba3bde4a1440134bb38ec22ba50db59986b544c,Multi-task (Ent + QG),0.7104
dm-test-4e0de0ec6d5b9df174f54d03158de8f30aac861f,Multi-task (Ent + QG),-1.716
dm-test-8bc8f134bc3ceaeec0df8f29e96e13d319717ab8,Multi-task (Ent + QG),0.005085
dm-test-6f027d030f9ca86446dc893f1d10ced4c9a3561f,Multi-task (Ent + QG),-0.00951
dm-test-e43eef75de38d246db9d80216ca9f5487215a78b,Multi-task (Ent + QG),-0.4185
dm-test-81bd721b16cad47dfd8d24baca5b30b006291db2,Multi-task (Ent + QG),0.698
cnn-test-a02e362c5b8f049848ce718b37b96117485461cf,Multi-task (Ent + QG),-0.7324
dm-test-dea0ed2e587495e516ac85056e21a2076a9a993c,Multi-task (Ent + QG),0.6436
dm-test-5be0a9584b051175d9f4842a143b76385335d96a,Multi-task (Ent + QG),-1.291
dm-test-d89de9c2a76f2665560becfe5d761a4fc62b9926,Multi-task (Ent + QG),0.4602
dm-test-8b59fa7715418c4bcc0d50e3caeb239129de453e,Multi-task (Ent + QG),-0.598
dm-test-1747dcd6a007ee97954b6b10cde549bf82f6a4eb,Multi-task (Ent + QG),0.7983
cnn-test-e49792c337d3f4c13e22f710efa44cf6a4e59aba,Multi-task (Ent + QG),0.3271
dm-test-d296270ab4a4cf20f2d9c1aae7514687806f2b35,Multi-task (Ent + QG),0.1818
cnn-test-b8b6e729fff27c4eef87887e61d3448de9c063f6,Multi-task (Ent + QG),-0.2102
dm-test-9beaaf73e4517d5bf1bc284f386485d571da96cf,Multi-task (Ent + QG),0.5723
dm-test-4a593dc4c7e0b4d09bfdc66bb315c47b54eb15df,Multi-task (Ent + QG),0.662
dm-test-18243373494a1722ddcd162ec67b63dd749633ab,Multi-task (Ent + QG),0.619
dm-test-998cb27197db1fd299aff3322ac041ba4bf1148f,Multi-task (Ent + QG),-1.105
dm-test-2feca9acf532e33f1ab7442c442c8e19787d8d7b,Multi-task (Ent + QG),0.6777
dm-test-8b51a10370a1219137e231192e65b9cd52238ea6,Multi-task (Ent + QG),0.768
dm-test-31114653cd606fd3f4b1035f98dedd71f8282cd2,Multi-task (Ent + QG),-1.362
dm-test-0cdd7cdb5d99c36f25f1f4fa0e962d558f7ff07b,Multi-task (Ent + QG),0.5605
dm-test-f5fead94ee884800e84a212cc0edc78b11c4ba9f,Multi-task (Ent + QG),0.7734
dm-test-36352fd1c61fd0c593ee7b84cbe213aa9b444439,Multi-task (Ent + QG),-1.218
dm-test-a3b6201aca77b5bdaa5df02d6acee2be66233237,Multi-task (Ent + QG),0.1521
cnn-test-c05bda9b387ec8ae43803170b6f59b4b82505db9,Multi-task (Ent + QG),0.876
dm-test-6c1341bedf92a304318545fbf1aad88651de7909,Multi-task (Ent + QG),0.5
dm-test-1749a22e2b6facaa057213cb9b33261b319bbd2b,Multi-task (Ent + QG),-0.465
dm-test-b255397ee863bd8faf9def57c0f76769153d905e,Multi-task (Ent + QG),-1.307
dm-test-e06ff0eb7c4fa4416fda84a9a239b15480c5a9d9,Multi-task (Ent + QG),0.7954
dm-test-d680ebcdcd59fd5ee9b602a06bcd5230c212835b,Multi-task (Ent + QG),0.633
dm-test-155754e1f2bc83f6836af78703edd4d00f19f381,Multi-task (Ent + QG),0.8384
dm-test-23e8c1d71474d239aa9ae37b9a05031b0054b8ce,Multi-task (Ent + QG),0.8984
cnn-test-4761dc6d8bdf56b9ada97104113dd1bcf4aed3f1,Multi-task (Ent + QG),-0.9385
dm-test-8847383b72167c3f3dd2161b5b091b580c8f4da7,Multi-task (Ent + QG),0.5864
dm-test-801763443e6c73e3857039f2223798b2b58bef19,Multi-task (Ent + QG),-1.561
dm-test-c16c9fa34ccae7e2b9e29c3988ccb74974c4b3c0,Multi-task (Ent + QG),0.619
dm-test-096e418a953af86df0d1560bec95bc7bfee2e34b,Multi-task (Ent + QG),0.618
dm-test-02c955067d00f38b6978b805d5a8701a787f78ac,Multi-task (Ent + QG),0.2234
dm-test-2cfc33d01364162579f46b2764914a03a29453ce,Multi-task (Ent + QG),0.347
dm-test-808a439a5d83fc47baaea934c8779a7ebc62470d,Multi-task (Ent + QG),-1.177
dm-test-9b5a04b9879fe716a2dcd66dd331f99534603c16,Multi-task (Ent + QG),-1.575
dm-test-d3c9ce137ba24a69253508b3416630465c050ae4,Multi-task (Ent + QG),0.681
dm-test-26e4e19d945cedcb489f28808c730658139c9415,Multi-task (Ent + QG),0.665
dm-test-4f3b35b540ba05f0f82d71a694ec23dde4dc3e01,Multi-task (Ent + QG),0.749
dm-test-2abe0f81f5b22c8a406165717e3bd7fce6fe47c6,Multi-task (Ent + QG),-1.352
cnn-test-5139ccfabee55ddb83e7937f5802c0a67aee8975,Multi-task (Ent + QG),-1.113
dm-test-051db270afc32571a08c15124330efe89d80fea8,Multi-task (Ent + QG),-1.365
dm-test-b1f6faac3f406edca1e0cad8cce1319c83e62605,Multi-task (Ent + QG),-0.1328
dm-test-c6667409fcdea2c89ba9f0d3a72c50e3967b4b1b,Multi-task (Ent + QG),-1.325
cnn-test-bcdb32ae644040a721da880fff9c1d502048cd8b,Multi-task (Ent + QG),0.1345
dm-test-46609841ffd23e9c22d1507edf7b176ecc4d834f,Multi-task (Ent + QG),0.7285
dm-test-2a48112ddee712f2364f128076cb2db555a043b1,Multi-task (Ent + QG),-0.01636
dm-test-fadabe346fe95d33eee71299e6596754768f5246,Multi-task (Ent + QG),0.322
dm-test-f468efac7b3c54f8c42c2c81dff108c52ebe0d7d,Multi-task (Ent + QG),0.6323
cnn-test-88c2481234e763c9bbc68d0ab1be1d2375c1349a,Multi-task (Ent + QG),0.892
dm-test-6372eff07fd3d6f578f90d6115e01747edccc095,Multi-task (Ent + QG),0.7104
dm-test-e7d8b6617691ea00d4ddc5fe2b7cbd105ba9a57e,Multi-task (Ent + QG),0.7314
cnn-test-404f859482d47c127868964a9a39d1a7645dd2e9,Multi-task (Ent + QG),-0.1198
dm-test-d83b82a9cd504218e604616be3f3c3928e3428b8,Multi-task (Ent + QG),0.01843
dm-test-0cd10ad50ceef529d96a255ed12ac9cd001ba9db,Multi-task (Ent + QG),0.5483
dm-test-632cfdb03aacd90a34a470f6a70b47eee62ec5f0,Multi-task (Ent + QG),0.4312
dm-test-c50d33e9749e7bb484d9b69c4f5fca35a3a50cb5,Multi-task (Ent + QG),0.4827
dm-test-2377095dda83df778e34304b7a09813808105d3b,Multi-task (Ent + QG),0.02544
dm-test-e880fda4c25289f8325574246f0f8ed4ff5eb26b,Multi-task (Ent + QG),0.859
dm-test-8764fb95bfad8ee849274873a92fb8d6b400eee2,PG,-1.703
dm-test-f26d8400ae49b90d109c165d0f44b8f6ca253c08,PG,0.789
dm-test-207df192edc1836250b69d1bc5b9e6a38206eb78,PG,0.732
dm-test-0f0789390d67698283cc87b2e046b5c5cd77edb7,PG,-1.297
cnn-test-fbbafa743a8c2ecd2cedf65c6c61956b2db8ec5c,PG,0.7925
dm-test-f37fd6e9b6cc18a7132568e307ef3b130931e809,PG,-1.11
dm-test-14c813567696f4e63a39993c09d4edb454036179,PG,0.6855
dm-test-e470f0a87d7513bf880412524332047020422c3f,PG,0.9717
dm-test-2c37d44d03ce2e91310339d884d33ee5aabf9abc,PG,0.6396
dm-test-e428e25bbf8e06643154ce31b7c6fab64c81e857,PG,0.9062
dm-test-0783c68a744df6afa009d16e72709f2b4d90dea1,PG,-0.0633
dm-test-eeef09d26cf30c2124c0399b08eedc6321fe5d20,PG,0.7183
cnn-test-b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e,PG,-1.1
dm-test-9afda3cde191a883d8c166ceb5765eb53205d8f4,PG,0.673
dm-test-4fb64a2298e18626db776fccf834be87388827e0,PG,0.5537
dm-test-03e271b4305517e02c9ead82d57327d32b99102e,PG,0.6274
dm-test-bd4684a0f5af5dd6ac88d2fb50f902bd7f10217b,PG,0.845
dm-test-9d0fcbd873927674d12aafce4ae7754fd591d4e2,PG,0.7915
dm-test-9b1af0f993d78353ebd56a1b180e882e751527b3,PG,-0.03665
cnn-test-d75b043ebefc3098aea84d92bb8bec0f509b1563,PG,0.893
cnn-test-e2bccd4dec93c9bb7b327827dae004c2d494ec31,PG,0.01413
dm-test-54b857a66cbd8473d6732e5da52d48612e636a37,PG,-0.3662
dm-test-2c6695b438980783754f7db28129ec2fbb3e6e21,PG,0.615
dm-test-2cf8c2d1d2ceb1980249f77e703f9039e63799d0,PG,-1.192
dm-test-b5bc2ae78441e4ac08fb01823d5fc0f1627c3166,PG,0.7153
dm-test-130ff8f2dfb6ab67861d5924b0ff5acd63c7d8ce,PG,0.01412
dm-test-4001b252a072ac149c70840b22299cc6cfab3bae,PG,0.6504
dm-test-cf4ba8f94f2dd5604eb8f8a4e655c10cf0996365,PG,-1.295
dm-test-8e6c8aec6808f66ed0342e128a4e146f3ecd627d,PG,0.08044
dm-test-b5925c1a02fa9a8f6b1d5ad764c19a732deac0df,PG,0.686
dm-test-3785743303ddb8b594be7c449a37458b99e83812,PG,-0.0653
dm-test-6721edf88c95f480a4db2c63649dbb03736aeadf,PG,0.6733
dm-test-7cba80e83b222801fed8d6f96e8c0aa381c54b28,PG,0.2512
dm-test-97bbda7ec22a736cd174b51513c72a6372d13d35,PG,0.74
dm-test-3ba3bde4a1440134bb38ec22ba50db59986b544c,PG,-0.9326
dm-test-4e0de0ec6d5b9df174f54d03158de8f30aac861f,PG,-0.6694
dm-test-8bc8f134bc3ceaeec0df8f29e96e13d319717ab8,PG,-0.876
dm-test-6f027d030f9ca86446dc893f1d10ced4c9a3561f,PG,0.741
dm-test-e43eef75de38d246db9d80216ca9f5487215a78b,PG,-1.153
dm-test-81bd721b16cad47dfd8d24baca5b30b006291db2,PG,-0.0874
cnn-test-a02e362c5b8f049848ce718b37b96117485461cf,PG,0.849
dm-test-dea0ed2e587495e516ac85056e21a2076a9a993c,PG,0.3428
